"covariate","mean","95% CI","species"
"Ocean",27573,"1069-47961","Townsend's Warbler"
"Lakes",15341,"1069-47961","Townsend's Warbler"
"Rivers",17380,"50-50000","Townsend's Warbler"
"Elevation",9224,"50-47961","Townsend's Warbler"
"Aspect",23496,"1069-47961","Townsend's Warbler"
"Slope",11263,"3108-47961","Townsend's Warbler"
"Precipitation",12000,"1000-48000","Townsend's Warbler"
"Developed high intensity",19418,"50-50000","Townsend's Warbler"
"Max temperature",7000,"1000-42000","Townsend's Warbler"
"Barren land",31651,"1069-50000","Townsend's Warbler"
"Deciduous forest",19418,"50-47961","Townsend's Warbler"
"Evergreen forest",3108,"1069-41845","Townsend's Warbler"
"Mixed forest",17380,"1069-50000","Townsend's Warbler"
"Shrub scrub",27573,"1069-50000","Townsend's Warbler"
"Grassland herbaceous",21457,"1069-50000","Townsend's Warbler"
"Pasture hay",17380,"50-50000","Townsend's Warbler"
"Developed low intensity",1069,"1069-1069","Tree Swallow"
"Cultivated crop",5147,"50-45922","Tree Swallow"
"Woody wetland",15341,"1069-50000","Tree Swallow"
"Emergent wetland",1069,"1069-1069","Tree Swallow"
"Ocean",23496,"50-50000","Tree Swallow"
"Lakes",1069,"1069-4128","Tree Swallow"
"Rivers",47961,"37767-50000","Tree Swallow"
"Elevation",13302,"50-50000","Tree Swallow"
"Aspect",19418,"8205-39806","Tree Swallow"
"Slope",50,"50-50","Tree Swallow"
"Precipitation",11000,"1000-48000","Tree Swallow"
"Developed high intensity",15341,"2089-45922","Tree Swallow"
"Max temperature",40000,"5000-50000","Tree Swallow"
"Barren land",13302,"1069-47961","Tree Swallow"
"Deciduous forest",50,"50-1069","Tree Swallow"
"Evergreen forest",50,"50-50","Tree Swallow"
"Mixed forest",1069,"50-50","Tree Swallow"
"Shrub scrub",33690,"7186-50000","Tree Swallow"
"Grassland herbaceous",37767,"9224-50000","Tree Swallow"
"Pasture hay",50,"50-1069","Tree Swallow"
"Developed low intensity",25535,"1069-50000","Tricolored Heron"
"Cultivated crop",17380,"50-50000","Tricolored Heron"
"Woody wetland",21457,"1069-50000","Tricolored Heron"
"Emergent wetland",1069,"1069-1069","Tricolored Heron"
"Ocean",8205,"1069-39806","Tricolored Heron"
"Lakes",15341,"50-50000","Tricolored Heron"
"Rivers",15341,"50-50000","Tricolored Heron"
"Elevation",19418,"50-50000","Tricolored Heron"
"Aspect",29612,"1069-50000","Tricolored Heron"
"Slope",23496,"1069-50000","Tricolored Heron"
"Precipitation",20000,"1000-50000","Tricolored Heron"
"Developed high intensity",15341,"1069-47961","Tricolored Heron"
"Max temperature",22000,"1000-50000","Tricolored Heron"
"Barren land",21457,"1069-50000","Tricolored Heron"
"Deciduous forest",23496,"1069-50000","Tricolored Heron"
"Evergreen forest",17380,"1069-50000","Tricolored Heron"
"Mixed forest",21457,"50-50000","Tricolored Heron"
"Shrub scrub",23496,"1069-50000","Tricolored Heron"
"Grassland herbaceous",23496,"1069-50000","Tricolored Heron"
"Pasture hay",21457,"2089-50000","Tricolored Heron"
"Developed low intensity",19418,"1069-50000","Trumpeter Swan"
"Cultivated crop",13302,"1069-47961","Trumpeter Swan"
"Woody wetland",17380,"50-50000","Trumpeter Swan"
"Emergent wetland",7186,"50-47961","Trumpeter Swan"
"Ocean",17380,"2089-47961","Trumpeter Swan"
"Lakes",3108,"50-39806","Trumpeter Swan"
"Rivers",17380,"1069-47961","Trumpeter Swan"
"Elevation",19418,"50-50000","Trumpeter Swan"
"Aspect",11263,"1069-47961","Trumpeter Swan"
"Slope",13302,"50-50000","Trumpeter Swan"
"Precipitation",20000,"1000-50000","Trumpeter Swan"
"Developed high intensity",21457,"1069-50000","Trumpeter Swan"
"Max temperature",20000,"1000-50000","Trumpeter Swan"
"Barren land",19418,"50-50000","Trumpeter Swan"
"Deciduous forest",11263,"50-47961","Trumpeter Swan"
"Evergreen forest",17380,"1069-50000","Trumpeter Swan"
"Mixed forest",27573,"50-50000","Trumpeter Swan"
"Shrub scrub",19418,"50-50000","Trumpeter Swan"
"Grassland herbaceous",19418,"50-50000","Trumpeter Swan"
"Pasture hay",19418,"50-50000","Trumpeter Swan"
"Developed low intensity",19418,"7186-41845","Tufted Titmouse"
"Cultivated crop",1069,"1069-2089","Tufted Titmouse"
"Woody wetland",4128,"50-35729","Tufted Titmouse"
"Emergent wetland",1069,"50-2089","Tufted Titmouse"
"Ocean",7186,"1069-50000","Tufted Titmouse"
"Lakes",15341,"50-47961","Tufted Titmouse"
"Rivers",27573,"2089-50000","Tufted Titmouse"
"Elevation",41845,"23496-50000","Tufted Titmouse"
"Aspect",21457,"3108-50000","Tufted Titmouse"
"Slope",8205,"2089-17380","Tufted Titmouse"
"Precipitation",18000,"1000-50000","Tufted Titmouse"
"Developed high intensity",1069,"1069-1069","Tufted Titmouse"
"Max temperature",40000,"4000-50000","Tufted Titmouse"
"Barren land",31651,"50-50000","Tufted Titmouse"
"Deciduous forest",50,"50-50","Tufted Titmouse"
"Evergreen forest",33690,"7186-50000","Tufted Titmouse"
"Mixed forest",50,"50-50","Tufted Titmouse"
"Shrub scrub",21457,"6166-45922","Tufted Titmouse"
"Grassland herbaceous",31651,"1069-50000","Tufted Titmouse"
"Pasture hay",1069,"1069-1069","Tufted Titmouse"
"Developed low intensity",9224,"4128-17380","Turkey Vulture"
"Cultivated crop",3108,"2089-5147","Turkey Vulture"
"Woody wetland",25535,"1069-50000","Turkey Vulture"
"Emergent wetland",27573,"1069-50000","Turkey Vulture"
"Ocean",27573,"3108-50000","Turkey Vulture"
"Lakes",7186,"50-50000","Turkey Vulture"
"Rivers",19418,"3108-37767","Turkey Vulture"
"Elevation",7186,"50-45922","Turkey Vulture"
"Aspect",13302,"50-47961","Turkey Vulture"
"Slope",37767,"11263-50000","Turkey Vulture"
"Precipitation",20000,"1000-50000","Turkey Vulture"
"Developed high intensity",13302,"6166-29612","Turkey Vulture"
"Max temperature",7000,"1000-46000","Turkey Vulture"
"Barren land",15341,"6166-47961","Turkey Vulture"
"Deciduous forest",4128,"50-47961","Turkey Vulture"
"Evergreen forest",7186,"50-47961","Turkey Vulture"
"Mixed forest",37767,"15341-50000","Turkey Vulture"
"Shrub scrub",17380,"50-50000","Turkey Vulture"
"Grassland herbaceous",11263,"1069-47961","Turkey Vulture"
"Pasture hay",17380,"1069-50000","Turkey Vulture"
"Developed low intensity",7186,"1069-43884","Upland Sandpiper"
"Cultivated crop",6166,"50-43884","Upland Sandpiper"
"Woody wetland",19418,"1069-50000","Upland Sandpiper"
"Emergent wetland",11263,"50-47961","Upland Sandpiper"
"Ocean",27573,"1069-50000","Upland Sandpiper"
"Lakes",21457,"50-50000","Upland Sandpiper"
"Rivers",21457,"1069-47961","Upland Sandpiper"
"Elevation",25535,"1069-50000","Upland Sandpiper"
"Aspect",19418,"1069-50000","Upland Sandpiper"
"Slope",15341,"50-47961","Upland Sandpiper"
"Precipitation",20000,"1000-50000","Upland Sandpiper"
"Developed high intensity",19418,"1069-47961","Upland Sandpiper"
"Max temperature",18000,"1000-48000","Upland Sandpiper"
"Barren land",15341,"1069-39806","Upland Sandpiper"
"Deciduous forest",8205,"50-47961","Upland Sandpiper"
"Evergreen forest",15341,"1069-47961","Upland Sandpiper"
"Mixed forest",13302,"50-47961","Upland Sandpiper"
"Shrub scrub",9224,"50-45922","Upland Sandpiper"
"Grassland herbaceous",10244,"1069-47961","Upland Sandpiper"
"Pasture hay",17380,"1069-50000","Upland Sandpiper"
"Developed low intensity",21457,"1069-50000","Varied Thrush"
"Cultivated crop",17380,"50-50000","Varied Thrush"
"Woody wetland",21457,"1069-50000","Varied Thrush"
"Emergent wetland",17380,"50-50000","Varied Thrush"
"Ocean",23496,"50-50000","Varied Thrush"
"Lakes",17380,"50-50000","Varied Thrush"
"Rivers",19418,"1069-50000","Varied Thrush"
"Elevation",21457,"50-50000","Varied Thrush"
"Aspect",17380,"1069-50000","Varied Thrush"
"Slope",11263,"1069-47961","Varied Thrush"
"Precipitation",12000,"1000-48000","Varied Thrush"
"Developed high intensity",21457,"50-50000","Varied Thrush"
"Max temperature",12000,"1000-50000","Varied Thrush"
"Barren land",13302,"3108-31651","Varied Thrush"
"Deciduous forest",25535,"1069-50000","Varied Thrush"
"Evergreen forest",4128,"50-45922","Varied Thrush"
"Mixed forest",19418,"1069-50000","Varied Thrush"
"Shrub scrub",21457,"2089-50000","Varied Thrush"
"Grassland herbaceous",17380,"50-50000","Varied Thrush"
"Pasture hay",21457,"50-50000","Varied Thrush"
"Developed low intensity",21457,"1069-50000","Vaux's Swift"
"Cultivated crop",21457,"50-50000","Vaux's Swift"
"Woody wetland",19418,"1069-50000","Vaux's Swift"
"Emergent wetland",9224,"1069-45922","Vaux's Swift"
"Ocean",25535,"1069-50000","Vaux's Swift"
"Lakes",33690,"1069-50000","Vaux's Swift"
"Rivers",25535,"1069-50000","Vaux's Swift"
"Elevation",17380,"50-50000","Vaux's Swift"
"Aspect",19418,"50-50000","Vaux's Swift"
"Slope",19418,"50-50000","Vaux's Swift"
"Precipitation",20000,"1000-50000","Vaux's Swift"
"Developed high intensity",15341,"50-47961","Vaux's Swift"
"Max temperature",24000,"1000-50000","Vaux's Swift"
"Barren land",17380,"50-47961","Vaux's Swift"
"Deciduous forest",19418,"1069-45922","Vaux's Swift"
"Evergreen forest",29612,"1069-50000","Vaux's Swift"
"Mixed forest",27573,"1069-50000","Vaux's Swift"
"Shrub scrub",21457,"50-50000","Vaux's Swift"
"Grassland herbaceous",21457,"1069-50000","Vaux's Swift"
"Pasture hay",21457,"1069-50000","Vaux's Swift"
"Developed low intensity",7186,"1069-17380","Veery"
"Cultivated crop",15341,"1069-50000","Veery"
"Woody wetland",1069,"1069-1069","Veery"
"Emergent wetland",17380,"3108-50000","Veery"
"Ocean",17380,"1069-47961","Veery"
"Lakes",25535,"5147-45922","Veery"
"Rivers",23496,"50-50000","Veery"
"Elevation",17380,"50-50000","Veery"
"Aspect",9224,"3108-43884","Veery"
"Slope",31651,"6166-50000","Veery"
"Precipitation",24000,"2000-50000","Veery"
"Developed high intensity",15341,"1069-47961","Veery"
"Max temperature",4000,"1000-14000","Veery"
"Barren land",15341,"2089-47961","Veery"
"Deciduous forest",1069,"1069-1069","Veery"
"Evergreen forest",15341,"50-50000","Veery"
"Mixed forest",1069,"1069-1069","Veery"
"Shrub scrub",7186,"1069-43884","Veery"
"Grassland herbaceous",19418,"2089-47961","Veery"
"Pasture hay",41845,"19418-50000","Veery"
"Developed low intensity",35729,"4128-50000","Verdin"
"Cultivated crop",21457,"1069-47961","Verdin"
"Woody wetland",23496,"2089-50000","Verdin"
"Emergent wetland",25535,"1069-50000","Verdin"
"Ocean",19418,"1069-50000","Verdin"
"Lakes",15341,"1069-47961","Verdin"
"Rivers",17380,"50-50000","Verdin"
"Elevation",15341,"50-50000","Verdin"
"Aspect",25535,"50-50000","Verdin"
"Slope",31651,"2089-50000","Verdin"
"Precipitation",18000,"1000-50000","Verdin"
"Developed high intensity",19418,"50-45922","Verdin"
"Max temperature",11000,"1000-46000","Verdin"
"Barren land",31651,"1069-50000","Verdin"
"Deciduous forest",21457,"2089-50000","Verdin"
"Evergreen forest",10244,"50-43884","Verdin"
"Mixed forest",21457,"50-50000","Verdin"
"Shrub scrub",8205,"50-47961","Verdin"
"Grassland herbaceous",10244,"50-47961","Verdin"
"Pasture hay",23496,"1069-50000","Verdin"
"Developed low intensity",19418,"50-50000","Vermilion Flycatcher"
"Cultivated crop",31651,"2089-50000","Vermilion Flycatcher"
"Woody wetland",19418,"50-50000","Vermilion Flycatcher"
"Emergent wetland",11263,"50-50000","Vermilion Flycatcher"
"Ocean",21457,"50-50000","Vermilion Flycatcher"
"Lakes",21457,"50-50000","Vermilion Flycatcher"
"Rivers",23496,"1069-50000","Vermilion Flycatcher"
"Elevation",9224,"50-47961","Vermilion Flycatcher"
"Aspect",19418,"50-47961","Vermilion Flycatcher"
"Slope",25535,"50-50000","Vermilion Flycatcher"
"Precipitation",20000,"1000-50000","Vermilion Flycatcher"
"Developed high intensity",21457,"1069-50000","Vermilion Flycatcher"
"Max temperature",16000,"1000-50000","Vermilion Flycatcher"
"Barren land",21457,"50-50000","Vermilion Flycatcher"
"Deciduous forest",21457,"50-50000","Vermilion Flycatcher"
"Evergreen forest",13302,"50-47961","Vermilion Flycatcher"
"Mixed forest",21457,"1069-50000","Vermilion Flycatcher"
"Shrub scrub",15341,"1069-45922","Vermilion Flycatcher"
"Grassland herbaceous",19418,"1069-47961","Vermilion Flycatcher"
"Pasture hay",21457,"50-50000","Vermilion Flycatcher"
"Developed low intensity",7186,"1069-41845","Violet-green Swallow"
"Cultivated crop",4128,"1069-13302","Violet-green Swallow"
"Woody wetland",7186,"50-39806","Violet-green Swallow"
"Emergent wetland",23496,"3108-47961","Violet-green Swallow"
"Ocean",27573,"2089-50000","Violet-green Swallow"
"Lakes",29612,"1069-50000","Violet-green Swallow"
"Rivers",33690,"4128-50000","Violet-green Swallow"
"Elevation",8205,"50-37767","Violet-green Swallow"
"Aspect",2089,"50-39806","Violet-green Swallow"
"Slope",27573,"2089-47961","Violet-green Swallow"
"Precipitation",30000,"3000-50000","Violet-green Swallow"
"Developed high intensity",21457,"3108-50000","Violet-green Swallow"
"Max temperature",4000,"1000-11000","Violet-green Swallow"
"Barren land",10244,"2089-43884","Violet-green Swallow"
"Deciduous forest",8205,"50-43884","Violet-green Swallow"
"Evergreen forest",8205,"1069-39806","Violet-green Swallow"
"Mixed forest",39806,"4128-50000","Violet-green Swallow"
"Shrub scrub",9224,"50-47961","Violet-green Swallow"
"Grassland herbaceous",19418,"1069-50000","Violet-green Swallow"
"Pasture hay",23496,"3108-45922","Violet-green Swallow"
"Developed low intensity",17380,"50-47961","Virginia's Warbler"
"Cultivated crop",19418,"50-50000","Virginia's Warbler"
"Woody wetland",17380,"1069-47961","Virginia's Warbler"
"Emergent wetland",19418,"50-50000","Virginia's Warbler"
"Ocean",19418,"50-50000","Virginia's Warbler"
"Lakes",21457,"1069-50000","Virginia's Warbler"
"Rivers",19418,"1069-50000","Virginia's Warbler"
"Elevation",10244,"50-47961","Virginia's Warbler"
"Aspect",35729,"50-50000","Virginia's Warbler"
"Slope",19418,"1069-50000","Virginia's Warbler"
"Precipitation",10000,"1000-48000","Virginia's Warbler"
"Developed high intensity",21457,"1069-50000","Virginia's Warbler"
"Max temperature",14000,"1000-48000","Virginia's Warbler"
"Barren land",17380,"1069-47961","Virginia's Warbler"
"Deciduous forest",13302,"1069-43884","Virginia's Warbler"
"Evergreen forest",2089,"50-23496","Virginia's Warbler"
"Mixed forest",21457,"50-50000","Virginia's Warbler"
"Shrub scrub",11263,"1069-47961","Virginia's Warbler"
"Grassland herbaceous",11263,"1069-47961","Virginia's Warbler"
"Pasture hay",21457,"1069-50000","Virginia's Warbler"
"Developed low intensity",15341,"50-50000","Virginia Rail"
"Cultivated crop",10244,"1069-45922","Virginia Rail"
"Woody wetland",2089,"50-35729","Virginia Rail"
"Emergent wetland",50,"50-1069","Virginia Rail"
"Ocean",17380,"50-50000","Virginia Rail"
"Lakes",17380,"50-50000","Virginia Rail"
"Rivers",21457,"50-50000","Virginia Rail"
"Elevation",19418,"50-50000","Virginia Rail"
"Aspect",15341,"50-50000","Virginia Rail"
"Slope",17380,"50-50000","Virginia Rail"
"Precipitation",20000,"1000-50000","Virginia Rail"
"Developed high intensity",19418,"50-50000","Virginia Rail"
"Max temperature",16000,"1000-50000","Virginia Rail"
"Barren land",19418,"50-50000","Virginia Rail"
"Deciduous forest",19418,"1069-50000","Virginia Rail"
"Evergreen forest",19418,"50-50000","Virginia Rail"
"Mixed forest",19418,"50-50000","Virginia Rail"
"Shrub scrub",17380,"50-50000","Virginia Rail"
"Grassland herbaceous",23496,"50-50000","Virginia Rail"
"Pasture hay",19418,"50-50000","Virginia Rail"
"Developed low intensity",1069,"1069-1069","Warbling Vireo"
"Cultivated crop",2089,"1069-3108","Warbling Vireo"
"Woody wetland",39806,"17380-50000","Warbling Vireo"
"Emergent wetland",2089,"50-41845","Warbling Vireo"
"Ocean",27573,"3108-50000","Warbling Vireo"
"Lakes",3108,"1069-41845","Warbling Vireo"
"Rivers",1069,"1069-2089","Warbling Vireo"
"Elevation",7186,"50-23496","Warbling Vireo"
"Aspect",37767,"5147-50000","Warbling Vireo"
"Slope",3108,"1069-7186","Warbling Vireo"
"Precipitation",7000,"1000-36000","Warbling Vireo"
"Developed high intensity",6166,"50-45922","Warbling Vireo"
"Max temperature",8000,"1000-26000","Warbling Vireo"
"Barren land",17380,"2089-47961","Warbling Vireo"
"Deciduous forest",31651,"50-50000","Warbling Vireo"
"Evergreen forest",5147,"1069-10244","Warbling Vireo"
"Mixed forest",29612,"11263-50000","Warbling Vireo"
"Shrub scrub",15341,"50-47961","Warbling Vireo"
"Grassland herbaceous",11263,"1069-47961","Warbling Vireo"
"Pasture hay",13302,"50-47961","Warbling Vireo"
"Developed low intensity",11263,"50-50000","Western Bluebird"
"Cultivated crop",13302,"50-47961","Western Bluebird"
"Woody wetland",29612,"3108-50000","Western Bluebird"
"Emergent wetland",15341,"1069-47961","Western Bluebird"
"Ocean",13302,"1069-47961","Western Bluebird"
"Lakes",6166,"1069-37767","Western Bluebird"
"Rivers",17380,"50-47961","Western Bluebird"
"Elevation",11263,"50-50000","Western Bluebird"
"Aspect",17380,"2089-47961","Western Bluebird"
"Slope",13302,"50-50000","Western Bluebird"
"Precipitation",24000,"2000-50000","Western Bluebird"
"Developed high intensity",11263,"50-50000","Western Bluebird"
"Max temperature",8000,"2000-24000","Western Bluebird"
"Barren land",15341,"50-50000","Western Bluebird"
"Deciduous forest",19418,"50-50000","Western Bluebird"
"Evergreen forest",2089,"1069-4128","Western Bluebird"
"Mixed forest",19418,"1069-50000","Western Bluebird"
"Shrub scrub",17380,"1069-50000","Western Bluebird"
"Grassland herbaceous",2089,"50-31651","Western Bluebird"
"Pasture hay",25535,"1069-50000","Western Bluebird"
"Developed low intensity",35729,"4128-50000","Western Flycatcher"
"Cultivated crop",15341,"50-47961","Western Flycatcher"
"Woody wetland",11263,"50-47961","Western Flycatcher"
"Emergent wetland",21457,"1069-47961","Western Flycatcher"
"Ocean",21457,"1069-50000","Western Flycatcher"
"Lakes",10244,"3108-41845","Western Flycatcher"
"Rivers",15341,"50-47961","Western Flycatcher"
"Elevation",15341,"50-47961","Western Flycatcher"
"Aspect",17380,"1069-50000","Western Flycatcher"
"Slope",2089,"1069-10244","Western Flycatcher"
"Precipitation",5000,"1000-22000","Western Flycatcher"
"Developed high intensity",2089,"50-9224","Western Flycatcher"
"Max temperature",4000,"1000-11000","Western Flycatcher"
"Barren land",17380,"1069-47961","Western Flycatcher"
"Deciduous forest",13302,"1069-47961","Western Flycatcher"
"Evergreen forest",50,"50-1069","Western Flycatcher"
"Mixed forest",27573,"13302-45922","Western Flycatcher"
"Shrub scrub",29612,"3108-50000","Western Flycatcher"
"Grassland herbaceous",17380,"50-50000","Western Flycatcher"
"Pasture hay",29612,"17380-43884","Western Flycatcher"
"Developed low intensity",15341,"1069-50000","Western Grebe"
"Cultivated crop",15341,"1069-47961","Western Grebe"
"Woody wetland",13302,"50-47961","Western Grebe"
"Emergent wetland",19418,"1069-50000","Western Grebe"
"Ocean",1069,"1069-3108","Western Grebe"
"Lakes",1069,"1069-1069","Western Grebe"
"Rivers",13302,"50-47961","Western Grebe"
"Elevation",19418,"50-50000","Western Grebe"
"Aspect",17380,"50-50000","Western Grebe"
"Slope",10244,"50-47961","Western Grebe"
"Precipitation",24000,"1000-50000","Western Grebe"
"Developed high intensity",21457,"1069-50000","Western Grebe"
"Max temperature",24000,"2000-50000","Western Grebe"
"Barren land",10244,"1069-47961","Western Grebe"
"Deciduous forest",19418,"50-50000","Western Grebe"
"Evergreen forest",17380,"50-50000","Western Grebe"
"Mixed forest",21457,"50-50000","Western Grebe"
"Shrub scrub",23496,"1069-50000","Western Grebe"
"Grassland herbaceous",37767,"3108-50000","Western Grebe"
"Pasture hay",11263,"50-45922","Western Grebe"
"Developed low intensity",13302,"50-50000","Western Gull"
"Cultivated crop",17380,"50-50000","Western Gull"
"Woody wetland",29612,"2089-50000","Western Gull"
"Emergent wetland",17380,"2089-47961","Western Gull"
"Ocean",1069,"1069-3108","Western Gull"
"Lakes",27573,"3108-50000","Western Gull"
"Rivers",10244,"1069-47961","Western Gull"
"Elevation",31651,"2089-47961","Western Gull"
"Aspect",15341,"1069-47961","Western Gull"
"Slope",23496,"1069-50000","Western Gull"
"Precipitation",14000,"1000-48000","Western Gull"
"Developed high intensity",17380,"1069-50000","Western Gull"
"Max temperature",16000,"1000-48000","Western Gull"
"Barren land",13302,"1069-47961","Western Gull"
"Deciduous forest",17380,"1069-47961","Western Gull"
"Evergreen forest",10244,"1069-47961","Western Gull"
"Mixed forest",13302,"50-50000","Western Gull"
"Shrub scrub",21457,"1069-50000","Western Gull"
"Grassland herbaceous",17380,"50-50000","Western Gull"
"Pasture hay",25535,"2089-50000","Western Gull"
"Developed low intensity",33690,"1069-50000","Western Kingbird"
"Cultivated crop",7186,"2089-47961","Western Kingbird"
"Woody wetland",13302,"50-47961","Western Kingbird"
"Emergent wetland",19418,"50-50000","Western Kingbird"
"Ocean",25535,"1069-50000","Western Kingbird"
"Lakes",11263,"50-50000","Western Kingbird"
"Rivers",25535,"50-50000","Western Kingbird"
"Elevation",13302,"50-47961","Western Kingbird"
"Aspect",19418,"50-50000","Western Kingbird"
"Slope",19418,"50-50000","Western Kingbird"
"Precipitation",18000,"1000-50000","Western Kingbird"
"Developed high intensity",9224,"50-47961","Western Kingbird"
"Max temperature",3000,"1000-9000","Western Kingbird"
"Barren land",15341,"1069-47961","Western Kingbird"
"Deciduous forest",5147,"50-45922","Western Kingbird"
"Evergreen forest",2089,"50-6166","Western Kingbird"
"Mixed forest",19418,"1069-50000","Western Kingbird"
"Shrub scrub",1069,"1069-4128","Western Kingbird"
"Grassland herbaceous",17380,"1069-50000","Western Kingbird"
"Pasture hay",21457,"1069-50000","Western Kingbird"
"Developed low intensity",1069,"1069-1069","Western Meadowlark"
"Cultivated crop",3108,"1069-17380","Western Meadowlark"
"Woody wetland",10244,"1069-47961","Western Meadowlark"
"Emergent wetland",8205,"1069-37767","Western Meadowlark"
"Ocean",23496,"1069-47961","Western Meadowlark"
"Lakes",23496,"50-47961","Western Meadowlark"
"Rivers",11263,"1069-50000","Western Meadowlark"
"Elevation",3108,"50-37767","Western Meadowlark"
"Aspect",21457,"1069-50000","Western Meadowlark"
"Slope",1069,"1069-5147","Western Meadowlark"
"Precipitation",20000,"2000-48000","Western Meadowlark"
"Developed high intensity",33690,"8205-50000","Western Meadowlark"
"Max temperature",10000,"1000-50000","Western Meadowlark"
"Barren land",35729,"3108-50000","Western Meadowlark"
"Deciduous forest",2089,"1069-10244","Western Meadowlark"
"Evergreen forest",6166,"1069-25535","Western Meadowlark"
"Mixed forest",8205,"3108-27573","Western Meadowlark"
"Shrub scrub",1069,"1069-2089","Western Meadowlark"
"Grassland herbaceous",1069,"1069-1069","Western Meadowlark"
"Pasture hay",27573,"50-50000","Western Meadowlark"
"Developed low intensity",10244,"50-47961","Western Tanager"
"Cultivated crop",9224,"1069-45922","Western Tanager"
"Woody wetland",25535,"2089-47961","Western Tanager"
"Emergent wetland",10244,"50-47961","Western Tanager"
"Ocean",23496,"50-50000","Western Tanager"
"Lakes",17380,"1069-50000","Western Tanager"
"Rivers",21457,"50-50000","Western Tanager"
"Elevation",31651,"50-50000","Western Tanager"
"Aspect",37767,"7186-50000","Western Tanager"
"Slope",23496,"1069-50000","Western Tanager"
"Precipitation",40000,"14000-50000","Western Tanager"
"Developed high intensity",21457,"50-50000","Western Tanager"
"Max temperature",10000,"1000-34000","Western Tanager"
"Barren land",19418,"1069-50000","Western Tanager"
"Deciduous forest",11263,"1069-47961","Western Tanager"
"Evergreen forest",1069,"50-2089","Western Tanager"
"Mixed forest",2089,"1069-31651","Western Tanager"
"Shrub scrub",23496,"2089-50000","Western Tanager"
"Grassland herbaceous",31651,"3108-50000","Western Tanager"
"Pasture hay",13302,"50-47961","Western Tanager"
"Developed low intensity",11263,"1069-47961","Western Wood-Pewee"
"Cultivated crop",21457,"1069-50000","Western Wood-Pewee"
"Woody wetland",3108,"1069-43884","Western Wood-Pewee"
"Emergent wetland",23496,"2089-39806","Western Wood-Pewee"
"Ocean",19418,"1069-50000","Western Wood-Pewee"
"Lakes",21457,"50-50000","Western Wood-Pewee"
"Rivers",17380,"50-50000","Western Wood-Pewee"
"Elevation",23496,"1069-50000","Western Wood-Pewee"
"Aspect",41845,"17380-50000","Western Wood-Pewee"
"Slope",5147,"1069-35729","Western Wood-Pewee"
"Precipitation",36000,"6000-50000","Western Wood-Pewee"
"Developed high intensity",11263,"50-50000","Western Wood-Pewee"
"Max temperature",4000,"1000-8000","Western Wood-Pewee"
"Barren land",17380,"1069-50000","Western Wood-Pewee"
"Deciduous forest",31651,"50-50000","Western Wood-Pewee"
"Evergreen forest",1069,"1069-1069","Western Wood-Pewee"
"Mixed forest",13302,"2089-47961","Western Wood-Pewee"
"Shrub scrub",27573,"8205-50000","Western Wood-Pewee"
"Grassland herbaceous",17380,"50-50000","Western Wood-Pewee"
"Pasture hay",6166,"1069-25535","Western Wood-Pewee"
"Developed low intensity",15341,"3108-50000","White-breasted Nuthatch"
"Cultivated crop",50,"50-1069","White-breasted Nuthatch"
"Woody wetland",15341,"7186-43884","White-breasted Nuthatch"
"Emergent wetland",33690,"50-50000","White-breasted Nuthatch"
"Ocean",11263,"1069-47961","White-breasted Nuthatch"
"Lakes",9224,"1069-41845","White-breasted Nuthatch"
"Rivers",11263,"50-50000","White-breasted Nuthatch"
"Elevation",15341,"50-50000","White-breasted Nuthatch"
"Aspect",17380,"4128-45922","White-breasted Nuthatch"
"Slope",1069,"50-9224","White-breasted Nuthatch"
"Precipitation",18000,"1000-48000","White-breasted Nuthatch"
"Developed high intensity",1069,"50-1069","White-breasted Nuthatch"
"Max temperature",6000,"3000-11000","White-breasted Nuthatch"
"Barren land",1069,"50-29612","White-breasted Nuthatch"
"Deciduous forest",50,"50-50","White-breasted Nuthatch"
"Evergreen forest",2089,"50-25535","White-breasted Nuthatch"
"Mixed forest",50,"50-50","White-breasted Nuthatch"
"Shrub scrub",17380,"1069-50000","White-breasted Nuthatch"
"Grassland herbaceous",7186,"1069-45922","White-breasted Nuthatch"
"Pasture hay",2089,"1069-29612","White-breasted Nuthatch"
"Developed low intensity",19418,"1069-50000","White-crowned Sparrow"
"Cultivated crop",21457,"1069-50000","White-crowned Sparrow"
"Woody wetland",15341,"50-47961","White-crowned Sparrow"
"Emergent wetland",8205,"1069-41845","White-crowned Sparrow"
"Ocean",31651,"1069-50000","White-crowned Sparrow"
"Lakes",21457,"4128-47961","White-crowned Sparrow"
"Rivers",29612,"1069-50000","White-crowned Sparrow"
"Elevation",5147,"50-23496","White-crowned Sparrow"
"Aspect",19418,"1069-50000","White-crowned Sparrow"
"Slope",21457,"50-50000","White-crowned Sparrow"
"Precipitation",16000,"1000-48000","White-crowned Sparrow"
"Developed high intensity",21457,"1069-50000","White-crowned Sparrow"
"Max temperature",12000,"1000-26000","White-crowned Sparrow"
"Barren land",17380,"1069-50000","White-crowned Sparrow"
"Deciduous forest",23496,"50-50000","White-crowned Sparrow"
"Evergreen forest",6166,"50-39806","White-crowned Sparrow"
"Mixed forest",23496,"50-50000","White-crowned Sparrow"
"Shrub scrub",15341,"50-47961","White-crowned Sparrow"
"Grassland herbaceous",27573,"1069-50000","White-crowned Sparrow"
"Pasture hay",2089,"1069-27573","White-crowned Sparrow"
"Developed low intensity",19418,"3108-31651","White-eyed Vireo"
